,uid,datetime,zone_id,ble_users,scores,infected,potentially_infected
102,4d,2019-01-13 12:00:00.000000,Gare,"31d,76d,79d",0.0,False,False
103,4d,2019-01-13 16:00:00.000000,Maisons 1,142d,0.0,False,False
104,4d,2019-01-13 18:00:00.000000,Gare,"19d,65d,79d,85d,127d,68f,88f,113f",0.0,False,False
105,4d,2019-01-13 19:00:00.000000,Arribat Center,135d,0.0,False,False
106,4d,2019-01-13 21:00:00.000000,Maisons 1,"88d,150f",0.0,False,False
107,4d,2019-01-14 08:00:00.000000,Arribat Center,"21d,108d",0.0,False,False
108,4d,2019-01-14 10:00:00.000000,Gare,"1d,77d,62c,79f",0.0,False,False
109,4d,2019-01-14 11:00:00.000000,Arribat Center,"25d,82d",0.0,False,False
110,4d,2019-01-14 15:00:00.000000,ENIM,"2d,26d,28d,77d,104d,125d,131d",0.0,False,False
111,4d,2019-01-14 17:00:00.000000,Arribat Center,"28d,105d,108d",0.0,False,False
112,4d,2019-01-14 22:00:00.000000,Maisons 1,"75d,128f,150f",0.0,False,False
113,5d,2019-01-02 12:00:00.000000,Gare,53d,0.0,False,False
114,5d,2019-01-02 20:00:00.000000,Carrefour,"18d,123d",0.0,False,False
115,5d,2019-01-03 08:00:00.000000,Gare,"12d,53d,91d,134d,141d",0.0,False,False
116,5d,2019-01-03 13:00:00.000000,Carrefour,8d,0.0,False,False
117,5d,2019-01-04 04:00:00.000000,Gare,134d,0.0,False,False
118,5d,2019-01-04 21:00:00.000000,Carrefour,"93d,101d,76f",0.0,False,False
119,5d,2019-01-04 22:00:00.000000,Gare,"2d,24d,26d,69d,90d,140d,12f",0.0,False,False
120,5d,2019-01-05 09:00:00.000000,Carrefour,"11d,37d,116d,147d,56c",0.0,False,False
121,5d,2019-01-06 02:00:00.000000,Gare,"136d,141d,85f",0.0,False,False
122,5d,2019-01-07 22:00:00.000000,Carrefour,"71d,107e",0.0,False,False
123,5d,2019-01-08 08:00:00.000000,Gare,"46d,66d,91d,114d,129d,22c,45f,69f,116f",0.0,False,False
124,5d,2019-01-08 14:00:00.000000,Carrefour,112d,0.0,False,False
125,5d,2019-01-08 22:00:00.000000,Gare,"22d,77d,134d,100f",0.0,False,False
126,5d,2019-01-09 21:00:00.000000,Carrefour,"47d,73d,121d",0.0,False,False
127,5d,2019-01-09 23:00:00.000000,Gare,"86d,98d,149d,10f,85f",0.0,False,False
128,5d,2019-01-10 08:00:00.000000,Gare,"44d,53d",0.0,False,False
129,5d,2019-01-10 20:00:00.000000,ENIM,"6d,48d,90c,69f,113f",0.0,False,False
130,5d,2019-01-11 08:00:00.000000,Gare,"108d,114d",0.0,False,False
131,5d,2019-01-11 19:00:00.000000,Carrefour,"57d,73d,118d,116f",0.0,False,False
132,5d,2019-01-12 08:00:00.000000,Gare,"2d,42d,79d,45f,69f,116f",0.0,False,False
133,5d,2019-01-13 18:00:00.000000,Carrefour,"55d,67d,73d,112d,136d,148d,150d,82f",0.0,False,False
134,5d,2019-01-14 18:00:00.000000,EMI,"21d,36d,85d",0.0,False,False
135,5d,2019-01-14 19:00:00.000000,Gare,"8d,22d,43d,61d,72d,122d",0.0,False,False
136,5d,2019-01-14 20:00:00.000000,ENIM,"46d,69d,80d,98d,105d,120d,27f,113f",0.0,False,False
137,6d,2019-01-03 11:00:00.000000,Gare,"13d,149f",0.0,False,False
138,6d,2019-01-03 17:00:00.000000,ENIM,"20d,54d,83d,105d,108d,122d,126d,113f,141f",0.0,False,False
139,6d,2019-01-03 18:00:00.000000,parking,56d,0.0,False,False
140,6d,2019-01-05 13:00:00.000000,ENIM,"38d,96d,44f",0.0,False,False
141,6d,2019-01-06 04:00:00.000000,parking,20f,0.0,False,False
142,6d,2019-01-06 20:00:00.000000,ENIM,"25d,68d",0.0,False,False
143,6d,2019-01-07 06:00:00.000000,parking,25d,0.0,False,False
144,6d,2019-01-07 11:00:00.000000,ENIM,"53d,74d,120d,143d",0.0,False,False
145,6d,2019-01-07 18:00:00.000000,ENIM,"26d,79d,86d,92d,125d,69c,12f,45f",0.0,False,False
146,6d,2019-01-08 08:00:00.000000,parking,"24d,29d,57d,78d,150f",0.0,False,False
147,6d,2019-01-08 20:00:00.000000,ENIM,"87d,93d,115d,126d,38f,62f",0.0,False,False
148,6d,2019-01-09 08:00:00.000000,parking,"17d,25d,48d",0.0,False,False
149,6d,2019-01-09 16:00:00.000000,ENIM,"46d,103d",0.0,False,False
150,6d,2019-01-09 21:00:00.000000,Gare,"13d,46d,91d,92d,88f,100f,136f",0.0,False,False
151,6d,2019-01-10 08:00:00.000000,parking,"7d,29d,144d,145d,10f",0.0,False,False
152,6d,2019-01-10 20:00:00.000000,ENIM,"5d,48d,90c,69f,113f",0.0,False,False
153,6d,2019-01-11 12:00:00.000000,ENIM,"67d,70d,74d,122d",0.0,False,False
154,6d,2019-01-11 21:00:00.000000,Gare,"125d,143d",0.0,False,False
155,6d,2019-01-12 07:00:00.000000,parking,57d,0.0,False,False
156,6d,2019-01-12 21:00:00.000000,ENIM,"13d,41d,81d,92d,96d,108d,109d,126d,137d,69c,12f,62f",0.0,False,False
157,7d,2019-01-01 09:00:00.000000,Gare,"22d,70d,107e",0.0,False,False
158,7d,2019-01-01 14:00:00.000000,Gare,100f,0.0,False,False
159,7d,2019-01-01 22:00:00.000000,parking,"18d,132d",0.0,False,False
160,7d,2019-01-02 22:00:00.000000,Gare,"31d,70d,86d,93d,136f",0.0,False,False
161,7d,2019-01-03 09:00:00.000000,ENIM,"23d,46d",0.0,False,False
162,7d,2019-01-03 18:00:00.000000,Gare,"2d,35d,105d,124d,127d,129d,130d,140d,66f",0.0,False,False
163,7d,2019-01-03 19:00:00.000000,ENIM,"66d,79d,122d,46f,85f",0.0,False,False
164,7d,2019-01-04 08:00:00.000000,parking,"24d,52d,58d,20f,119f",0.0,False,False
165,7d,2019-01-07 18:00:00.000000,Gare,"67d,81d,102d,120d,122f,125f",0.0,False,False
166,7d,2019-01-08 18:00:00.000000,ENIM,"2d,31d,44d,54d,82d,142d,45f,113f",0.0,False,False
167,7d,2019-01-09 08:00:00.000000,Gare,"44d,53d,79d,87d,118d,45f",0.0,False,False
168,7d,2019-01-09 11:00:00.000000,parking,"18d,80d",0.0,False,False
169,7d,2019-01-09 17:00:00.000000,Gare,"77d,96d,118d,121d,44f",0.0,False,False
170,7d,2019-01-10 08:00:00.000000,parking,"6d,29d,144d,145d,10f",0.0,False,False
171,7d,2019-01-10 23:00:00.000000,ENIM,100d,0.0,False,False
172,7d,2019-01-11 02:00:00.000000,parking,29d,0.0,False,False
173,7d,2019-01-11 09:00:00.000000,ENIM,"11d,13d,117d,144d,12f",0.0,False,False
174,7d,2019-01-12 02:00:00.000000,Gare,114d,0.0,False,False
175,7d,2019-01-12 03:00:00.000000,parking,"80d,146d",0.0,False,False
176,7d,2019-01-12 22:00:00.000000,ENIM,"19d,20d,53d,120d,26f",0.0,False,False
177,7d,2019-01-13 09:00:00.000000,parking,18d,0.0,False,False
178,7d,2019-01-13 22:00:00.000000,Gare,"1d,24d,86d,100e",0.0,False,False
179,7d,2019-01-14 09:00:00.000000,ENIM,"31d,107d,125d,146d,88f",0.0,False,False
180,7d,2019-01-14 13:00:00.000000,Gare,"12d,26d,32d,33d,81d,139d,42f",0.0,False,False
181,7d,2019-01-14 17:00:00.000000,parking,25d,0.0,False,False
182,7d,2019-01-14 18:00:00.000000,Gare,"54d,74d,82d,103d,26f",0.0,False,False
183,7d,2019-01-14 19:00:00.000000,parking,24d,0.0,False,False
184,8d,2019-01-02 22:00:00.000000,Arribat Center,"15d,90d,130d,82f",0.0,False,False
185,8d,2019-01-03 13:00:00.000000,Carrefour,5d,0.0,False,False
186,8d,2019-01-03 17:00:00.000000,Carrefour,"30d,57d,150d,76f",0.0,False,False
187,8d,2019-01-03 18:00:00.000000,EMI,15d,0.0,False,False
188,8d,2019-01-04 14:00:00.000000,Arribat Center,107d,0.0,False,False
189,8d,2019-01-05 15:00:00.000000,Maisons 1,80f,0.0,False,False
190,8d,2019-01-05 17:00:00.000000,Arribat Center,"28d,44f",0.0,False,False
191,8d,2019-01-05 23:00:00.000000,Maisons 1,"43d,38f",0.0,False,False
192,8d,2019-01-06 13:00:00.000000,Carrefour,"40d,45d",0.0,False,False
193,8d,2019-01-07 02:00:00.000000,Maisons 1,30d,0.0,False,False
194,8d,2019-01-07 11:00:00.000000,Carrefour,11d,0.0,False,False
195,8d,2019-01-07 22:00:00.000000,Maisons 1,80f,0.0,False,False
196,8d,2019-01-09 08:00:00.000000,Maisons 1,"51d,131d,85f",0.0,False,False
197,8d,2019-01-10 08:00:00.000000,Arribat Center,"21d,60d,115d,118d,124d",0.0,False,False
198,8d,2019-01-10 20:00:00.000000,Arribat Center,"30d,94d,135d",0.0,False,False
199,8d,2019-01-11 08:00:00.000000,Maisons 1,"30d,95d,96d,131d,113f,114f",0.0,False,False
200,8d,2019-01-12 11:00:00.000000,Maisons 1,80f,0.0,False,False
201,8d,2019-01-13 04:00:00.000000,Maisons 1,68d,0.0,False,False
202,8d,2019-01-13 11:00:00.000000,Carrefour,"115d,119d,81e",0.0,False,False
203,8d,2019-01-13 15:00:00.000000,EMI,"36d,112d,127d",0.0,False,False
204,8d,2019-01-13 19:00:00.000000,Maisons 1,"34d,38d,51d",0.0,False,False
205,8d,2019-01-14 13:00:00.000000,Arribat Center,149d,0.0,False,False
206,8d,2019-01-14 15:00:00.000000,Maisons 1,75d,0.0,False,False
207,8d,2019-01-14 19:00:00.000000,Gare,"5d,22d,43d,61d,72d,122d",0.0,False,False
208,9d,2019-01-01 21:00:00.000000,Gare,"45d,46d,53d,54d,130d,141d,76f,122f,35e",0.0,False,False
209,9d,2019-01-02 08:00:00.000000,ENIM,"16d,23d,36d,39d,45d,83d,12f,76f",0.0,False,False
210,9d,2019-01-02 19:00:00.000000,Gare,"45d,72d,107d,143d,17f,20f",0.0,False,False
211,9d,2019-01-02 21:00:00.000000,ENIM,"20d,29d,122d,20f,113f,63e",0.0,False,False
212,9d,2019-01-02 23:00:00.000000,Gare,4d,0.0,False,False
213,9d,2019-01-03 11:00:00.000000,ENIM,"44d,64d,120d,129d,141d,108c,27f",0.0,False,False
214,9d,2019-01-04 09:00:00.000000,Gare,"36d,89d,112d,114d,129d",0.0,False,False
215,9d,2019-01-05 02:00:00.000000,ENIM,144d,0.0,False,False
216,9d,2019-01-05 18:00:00.000000,Gare,"2d,23d,39d,46d,12f",0.0,False,False
217,9d,2019-01-05 20:00:00.000000,ENIM,"54d,83c,45f,69f",0.0,False,False
218,9d,2019-01-05 21:00:00.000000,Gare,"1d,22d,53d,89d,129d,136d,78f,113f,116f",0.0,False,False
219,9d,2019-01-06 01:00:00.000000,ENIM,85f,0.0,False,False
220,9d,2019-01-06 12:00:00.000000,Gare,"44d,53d,69c",0.0,False,False
221,9d,2019-01-06 15:00:00.000000,ENIM,"39d,115d,85f",0.0,False,False
222,9d,2019-01-06 22:00:00.000000,Gare,"32d,106d,129d,145d,66f,113f",0.0,False,False
223,9d,2019-01-07 16:00:00.000000,ENIM,"95d,21c,9e",0.0,False,False
224,9d,2019-01-07 19:00:00.000000,Gare,"2d,20d,29d,31d,43d,124d,140d",0.0,False,False
225,9d,2019-01-07 21:00:00.000000,ENIM,"78d,108d,147d,88f",0.0,False,False
226,9d,2019-01-10 12:00:00.000000,Gare,"24d,79d,85d,136d,12f,17f",0.0,False,False
227,9d,2019-01-10 21:00:00.000000,ENIM,"79d,125d,127d,136d",0.0,False,False
228,9d,2019-01-13 23:00:00.000000,Gare,"59d,4f,26f,100f,136f",0.0,False,False
229,9d,2019-01-14 02:00:00.000000,ENIM,77d,0.0,False,False
230,9d,2019-01-14 21:00:00.000000,Gare,"26d,28d,45d,48d,143d,10f",0.0,False,False
231,9d,2019-01-14 22:00:00.000000,ENIM,"3d,33d,41d,45d,61d,64d,81d,103d,109d,147d",0.0,False,False
232,10d,2019-01-01 21:00:00.000000,Maisons 1,"105d,142d,114f",0.0,False,False
233,10d,2019-01-02 08:00:00.000000,Maisons 1,"15d,63d,68d,96d,142d,80f,85f,113f,128f",0.0,False,False
234,10d,2019-01-04 22:00:00.000000,EMI,"37d,51d,104d,113d",0.0,False,False
235,10d,2019-01-05 08:00:00.000000,Maisons 1,"15d,80f",0.0,False,False
236,10d,2019-01-06 08:00:00.000000,Maisons 1,"90d,96d,119d,131d",0.0,False,False
237,10d,2019-01-06 11:00:00.000000,EMI,"18d,27f",0.0,False,False
238,10d,2019-01-06 17:00:00.000000,Maisons 1,"19d,100f",0.0,False,False
239,10d,2019-01-06 18:00:00.000000,EMI,"47d,98d,66f,129f",0.0,False,False
240,10d,2019-01-06 19:00:00.000000,ENIM,"47d,77d,105d,127d,139d,44f,113f",0.0,False,False
241,10d,2019-01-06 22:00:00.000000,Maisons 1,"57d,105d,133d",0.0,False,False
242,10d,2019-01-06 23:00:00.000000,EMI,"22d,132d",0.0,False,False
243,10d,2019-01-07 08:00:00.000000,Maisons 1,"30d,34d,63d,68d,113f,128f",0.0,False,False
244,10d,2019-01-07 11:00:00.000000,EMI,"35d,106d,129f",0.0,False,False
245,10d,2019-01-07 15:00:00.000000,Maisons 1,146d,0.0,False,False
246,10d,2019-01-07 19:00:00.000000,Carrefour,"33d,49f",0.0,False,False
247,10d,2019-01-07 22:00:00.000000,ENIM,"16d,36d,48d,91d,98d,99d",0.0,False,False
248,10d,2019-01-08 09:00:00.000000,Maisons 1,"30d,63d,100f,128f",0.0,False,False
249,10d,2019-01-08 18:00:00.000000,Arribat Center,"124d,147d,80f",0.0,False,False
250,10d,2019-01-09 18:00:00.000000,EMI,"16d,115d,141d",0.0,False,False
251,10d,2019-01-09 20:00:00.000000,Maisons 1,"99d,144d",0.0,False,False
252,10d,2019-01-10 11:00:00.000000,EMI,"20d,54d,98d,46c,76c",0.0,False,False
253,10d,2019-01-11 15:00:00.000000,Maisons 1,113d,0.0,False,False
254,10d,2019-01-12 14:00:00.000000,EMI,"95d,38f",0.0,False,False
255,10d,2019-01-12 22:00:00.000000,Maisons 1,38f,0.0,False,False
256,10d,2019-01-12 23:00:00.000000,EMI,88d,0.0,False,False
257,10d,2019-01-13 11:00:00.000000,Maisons 1,133d,0.0,False,False
258,10d,2019-01-13 15:00:00.000000,Gare,"38d,41d,78d,117d,118d",0.0,False,False
259,10d,2019-01-13 17:00:00.000000,Arribat Center,133d,0.0,False,False
260,10d,2019-01-13 18:00:00.000000,Maisons 1,100f,0.0,False,False
261,10d,2019-01-15 00:00:00.000000,Arribat Center,106d,0.0,False,False
262,10d,2019-01-15 03:00:00.000000,Maisons 1,15d,0.0,False,False
263,11d,2019-01-03 18:00:00.000000,ENIM,"4d,128d,10f",0.0,False,False
264,11d,2019-01-04 18:00:00.000000,Gare,"23d,64d,134d",0.0,False,False
265,11d,2019-01-04 19:00:00.000000,Carrefour,"18d,21d",0.0,False,False
266,11d,2019-01-05 09:00:00.000000,Carrefour,"5d,37d,116d,147d,56c",0.0,False,False
267,11d,2019-01-05 20:00:00.000000,Gare,"65d,142d,141f",0.0,False,False
268,11d,2019-01-06 10:00:00.000000,EMI,134d,0.0,False,False
269,11d,2019-01-06 15:00:00.000000,Carrefour,"112d,140d",0.0,False,False
270,11d,2019-01-07 00:00:00.000000,Gare,"125d,10f",0.0,False,False
271,11d,2019-01-07 03:00:00.000000,Carrefour,138d,0.0,False,False
272,11d,2019-01-07 10:00:00.000000,ENIM,129f,0.0,False,False
273,11d,2019-01-07 11:00:00.000000,Carrefour,8d,0.0,False,False
274,11d,2019-01-07 13:00:00.000000,EMI,"71d,139d,14f,50e",0.0,False,False
275,11d,2019-01-07 19:00:00.000000,EMI,"125d,129d",0.0,False,False
276,11d,2019-01-08 08:00:00.000000,Carrefour,"32d,67d,93d,17f",0.0,False,False
277,11d,2019-01-08 13:00:00.000000,EMI,"37d,125d,141d,112c,14f",0.0,False,False
278,11d,2019-01-08 14:00:00.000000,Gare,"88c,12f",0.0,False,False
279,11d,2019-01-11 09:00:00.000000,ENIM,"7d,13d,117d,144d,12f",0.0,False,False
280,11d,2019-01-11 13:00:00.000000,EMI,"116d,17f",0.0,False,False
281,11d,2019-01-11 18:00:00.000000,EMI,"47d,79d,85d,96d,108d",0.0,False,False
282,11d,2019-01-11 20:00:00.000000,Carrefour,"1d,137d",0.0,False,False
283,11d,2019-01-12 11:00:00.000000,Carrefour,17d,0.0,False,False
284,11d,2019-01-13 11:00:00.000000,EMI,"26d,42d,51d,104d,88f,102f",0.0,False,False
285,11d,2019-01-13 16:00:00.000000,Carrefour,"147d,38f",0.0,False,False
286,11d,2019-01-13 19:00:00.000000,Gare,"33d,78d,120d,140d,100f",0.0,False,False
287,11d,2019-01-13 21:00:00.000000,Carrefour,49f,0.0,False,False
288,11d,2019-01-14 08:00:00.000000,Carrefour,"3d,67d,110d,148d,49f",0.0,False,False
289,11d,2019-01-14 23:00:00.000000,EMI,"22d,37d,59d,31c",0.0,False,False
290,11d,2019-01-15 06:00:00.000000,Carrefour,"13d,37d",0.0,False,False
291,12d,2019-01-03 08:00:00.000000,Gare,"5d,53d,91d,134d,141d",0.0,False,False
292,12d,2019-01-03 12:00:00.000000,Maisons 2,"55d,99d",0.0,False,False
293,12d,2019-01-03 15:00:00.000000,Gare,"4d,54d,122d,10f,141f",0.0,False,False
294,12d,2019-01-03 22:00:00.000000,Maisons 2,21d,0.0,False,False
295,12d,2019-01-04 09:00:00.000000,Maisons 2,99d,0.0,False,False
296,12d,2019-01-04 16:00:00.000000,Gare,"130d,88f",0.0,False,False
297,12d,2019-01-04 21:00:00.000000,Maisons 2,"148d,44f,102f",0.0,False,False
298,12d,2019-01-05 08:00:00.000000,Maisons 2,"19d,33d,99d,100d,104d,102f,114f",0.0,False,False
299,12d,2019-01-05 19:00:00.000000,Gare,"2d,25d,36d,44d,58d,69d",0.0,False,False
300,12d,2019-01-05 23:00:00.000000,Maisons 2,128d,0.0,False,False
301,12d,2019-01-06 11:00:00.000000,Gare,"33d,40d,43d,65d,77d,136d,139d,26f,100f",0.0,False,False
302,12d,2019-01-06 22:00:00.000000,Maisons 2,"33d,75d,99d",0.0,False,False
303,12d,2019-01-08 08:00:00.000000,Maisons 2,"33d,55d,135d",0.0,False,False
